Debut GP classique (bioavailability)
   	      	               fitness                	              size             
   	      	--------------------------------------	-------------------------------
gen	nevals	avg    	max        	min    	std   	avg  	max	min	std    
0  	100   	77789.2	6.94628e+06	3687.59	690518	15.13	117	2  	23.2996
0  	200   	43490.5	6.94628e+06	3687.59	489813	14.665	127	2  	23.4381
1  	300   	82046.3	6.94625e+06	3687.59	725568	10.4033	77 	2  	17.8049
2  	400   	5108.91	23984.8    	3193.83	1544.92	9.34911	74 	2  	14.8029
3  	500   	4283.82	5571.51    	2538.62	735.454	4.80838	24 	1  	3.5913 
4  	600   	3426.83	5608.83    	2194.33	746.368	5.88957	15 	2  	2.20709
5  	700   	2715.66	4871.73    	2021.48	465.552	7.08397	19 	3  	2.71   
6  	800   	2289.66	4304.8     	2021.48	310.956	8.33913	16 	2  	2.6634 
7  	900   	2195.87	4689.08    	2021.48	312.885	8.72   	15 	3  	2.84633
7  	1000  	2369.32	5571.51    	2021.48	527.08 	9.145  	18 	3  	3.21621
8  	1100  	2223.82	5554.98    	1956.69	401.785	10.1381	23 	5  	3.42363
9  	1200  	2251.23	6946.51    	1956.69	630.229	11.2093	20 	1  	3.27292
10 	1300  	2151.87	3687.49    	1920.56	341.509	12.5399	24 	5  	3.80224
11 	1400  	2114   	3802.58    	1889.85	353.283	14.2143	30 	5  	4.68621
12 	1500  	2053.95	3118.82    	1889.85	226.954	16.6397	29 	7  	4.46172
13 	1600  	2025.58	5523.79    	1860.14	419.293	19.0611	31 	1  	4.34004
14 	1700  	3217.5 	149977     	1859.05	13626.9	20.8462	31 	14 	2.79075
15 	1800  	1940.87	3687.49    	1859.05	215.16 	21.2685	37 	10 	2.70667
16 	1900  	3284.42	133725     	1847.42	13454.7	21.4632	30 	9  	3.48775
16 	2000  	2748   	133725     	1808.96	9413.19	20.9436	39 	1  	4.80511
17 	2100  	3094.85	200284     	1804.85	14390  	22.9206	42 	1  	5.72556
18 	2200  	1988.77	5560.77    	1756.64	414.209	25.7158	42 	3  	5.69148
19 	2300  	2557.12	104988     	1752.54	7560.56	26.9676	43 	9  	4.96137
20 	2400  	1963.58	5571.51    	1752.54	387.031	28.2584	57 	2  	7.43289
21 	2500  	1892.42	3433.15    	1718.44	246.549	30.0707	50 	9  	7.16805
22 	2600  	2474.88	99108.1    	1718.44	7156.8 	28.6757	60 	1  	8.21223
23 	2700  	1866.66	3857.11    	1718.44	271.027	27.9222	56 	7  	6.85845
24 	2800  	1852.46	2897.03    	1697.18	215.337	29.5531	50 	9  	6.35638
25 	2900  	1816.03	3254.85    	1697.18	200.074	33.4607	52 	12 	5.75115
26 	3000  	52776.3	8.6727e+06 	1693.89	653659 	35.7371	61 	6  	6.99465
27 	3100  	1793.17	2904.49    	1693.89	179.794	38.5806	61 	21 	7.16071
28 	3200  	1797.76	3362.71    	1693.89	238.735	40.5548	60 	20 	7.5226 
29 	3300  	1792.47	3371.6     	1693.89	239.872	43.4923	60 	22 	9.00107
30 	3400  	1746.43	2910.36    	1688.37	170.553	45.8571	81 	19 	10.5933
31 	3500  	1789.37	9837.87    	1641.65	863.495	45.8523	74 	31 	11.015 
31 	3600  	1961.73	19525.1    	1641.65	1481.86	45.7128	75 	21 	11.8632
32 	3700  	2214.09	71853.3    	1641.65	5093.18	47.0606	71 	20 	11.5258
33 	3800  	2427.34	118566     	1621.26	8612.8 	50.7104	93 	9  	12.6719
34 	3900  	2787.75	189535     	1606.45	14078.9	51.8588	77 	21 	9.38368
35 	4000  	1761.81	5451.23    	1583.12	379.429	53.9085	85 	3  	8.25494
36 	4100  	1728.63	2663.15    	1583.12	182.392	53.824 	84 	20 	9.79066
37 	4200  	1671.78	2901.27    	1579.88	185.103	56.5952	79 	33 	7.79008
38 	4300  	1744.2 	12387.4    	1579.88	992.438	60.1765	85 	31 	10.2068
39 	4400  	1605.23	2102.42    	1579.18	78.0324	66.4286	85 	29 	11.7326
40 	4500  	1582.45	1893.89    	1531.84	35.9261	75.3368	95 	55 	8.72216
40 	4600  	1679.68	3565.45    	1521   	266.911	72.8564	99 	20 	12.3533
41 	4700  	3123.96	288834     	1521   	20673.8	75.7917	106	21 	10.1211
42 	4800  	1651.19	3300.68    	1517.71	298.181	75.0291	110	27 	12.0996
43 	4900  	2360.39	123960     	1503.12	9644.61	74.95  	110	19 	12.8335
